"LexicalDiversity","freqDist","title","author","genre","absCount"
"5.088301198008541","Mr,Elizabeth,could,would,Darcy,said,Mrs,She,much,Bennet,But,must,Bingley,Jane","Pride and Prejudice","Jane Austen","literature","7471"
"10.32022655484152","I,The,Then,came,went,one,little,king,away,would,could,go,took,man","Grimms' Fairy Tales","The Brothers Grimm","classic","3790"
"6.610705315125444","said,The,Mr,He,one,Lorry,would,It,Defarge,man,upon,could,time,little","A Tale of Two Cities","Charles Dickens","literature","9159"
"10.86502725470763","I,prince,men,would,Castruccio,The,And,people,may,time,many,ought,others,state","The Prince","Nicolo Machiavelli","history","35081"
"9.731492553538427","whale,one,But,The,like,upon,man,ship,Ahab,ye,old,sea,would,And","Moby Dick; or The Whale","Herman Melville","adventure","8952"
"11.735124490082994","The,woman,may,one,women,called,When,also,A,love,time,men,work,things","The Kama Sutra of Vatsyayana","Vatsyayana","nonfiction","3337"
"8.842105263157894","Gutenberg,tm,I,work,1,works,electronic,may,Foundation,E,children,terms,would,one","A Modest Proposal","Jonathan Swift","fiction","3318"
"8.976363779545276","said,upon,Holmes,It,The,one,would,He,man,You,could,Mr,little,see","The Adventures of Sherlock Holmes","Arthur Conan Doyle","classic","7979"
"8.175068623578149","Jack,Algernon,Cecily,Gwendolen,Miss,Lady,Bracknell,one,You,It,The,Mr,Prism,Ernest","The Importance of Being Earnest","Oscar Wilde","classic","8071"
"5.072050801921354","said,Joe,Mr,would,one,could,It,know,The,Miss,time,And,upon,little","Great Expectations","Charles Dickens","classic","6230"
"6.809209171515819","d,The,O,And,see,To,one,love,shall,day,life,soul,old,man","Leaves of Grass","Walt Whitman","fiction","11573"
"10.253022726892654","said,Alice,little,The,one,know,like,went,Project,Gutenberg,Queen,could,thought,would","Alice's Adventures in Wonderland","Lewis Carroll","classic","6131"
"8.161947764771375","I,one,He,man,said,It,Marius,Jean,two,Valjean,would,A,Cosette,This","Les Miserables","Victor Hugo","literature","21113"
"9.14328829137801","_______,The,steam,boiler,2,water,0,per,3,4,heat,temperature,may,5","Steam, Its Generation and Use","Babcock & Wilcox Co.","classic","6665"
"24.612033759869316","The,He,said,could,one,us,must,would,shall,know,may,time,It,see","Dracula","Bram Stoker","literature","1808"
"7.2845425183372186","Beowulf,I,He,1,To,Hrothgar,battle,one,A,Grendel,And,war,2,B","Beowulf","Unknown","literature","9405"
"11.928779364971904","would,said,one,Mr,could,The,like,He,Rochester,Jane,You,It,little,must","Jane Eyre","Charlotte Bronte","literature","3524"
"5.568806297451489","would,one,The,He,Mr,slave,slaves,time,upon,It,man,master,could,work","The Narrative of the Life of Frederick Douglass","Frederick Douglass","nonfiction","12748"
"10.384456441170489","Mr,Emma,could,would,Mrs,Miss,must,She,Harriet,said,much,He,Weston,one","Emma","Jane Austen","literature","15831"
"4.177720288376979","said,He,Mr,The,man,She,would,one,O,little,Gabriel,old,It,like","Dubliners","James Joyce","classic","28551"
"9.046431526917313","I,The,And,thou,That,Of,To,thy,thee,one,thus,As,In,But","The Divine Comedy","Dante Alighieri","philosophy","16179"
"5.783998018330443","could,The,upon,would,great,one,two,made,much,country,He,several,time,three","Gulliver's Travels","Jonathan Swift","literature","11208"
"16.89971883786317","says,got,said,see,would,Jim,come,one,d,didn,The,get,time,Well","Adventures of Huckleberry Finn","Mark Twain (Samuel Clemens)","literature","9016"
"6.366479696021919","She,prick,could,would,dear,time,The,cunt,one,delicious,first,us,We,said","The Romance of Lust","Anonymous","literature","14778"
"11.914709978618648","Project,Gutenberg,tm,work,1,John,It,paper,one,The,works,said,But,would","The Yellow Wallpaper","Charlotte Perkins Gilman","literature","6074"
"4.576336367132419","Peter,said,Wendy,would,one,He,It,The,Hook,could,cried,John,She,time","Peter Pan","James M. Barrie","literature","8925"
"10.063905381882348","said,Utterson,Mr,The,Hyde,Jekyll,man,Project,Gutenberg,one,lawyer,It,And,upon","Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson","fantasy","8441"
"9.629849707966782","She,The,Edna,He,upon,one,Pontellier,It,would,little,like,Mrs,said,Robert","The Awakening and Selected Short Stories","Kate Chopin","literature","13289"
"7.357699899686114","The,He,It,said,would,Kurtz,like,one,man,could,see,know,Project,Gutenberg","Heart of Darkness","Joseph Conrad","literature","9095"
"4.29549134416088","Elinor,could,Marianne,Mrs,would,said,every,one,must,But,much,sister,Edward,mother","Sense and Sensibility","Jane Austen","literature","9471"
"18.901224025049814","The,And,thy,I,But,To,er,shall,arms,Hector,Jove,thus,With,He","The Iliad of Homer","Homer","adventure","1992"
"9.558013695350285","said,And,one,may,The,good,man,would,State,must,like,But,Yes,true","The Republic","Plato","classic","5988"
"14.158389887280459","Heathcliff,would,He,Linton,Catherine,said,ll,Mr,could,The,one,And,You,It","Wuthering Heights","Emily Bronte","literature","4861"
"9.892554670711668","_,He,said,The,Mr,Bloom,A,like,one,And,O,Stephen,says,What","Ulysses","James Joyce","classic","7826"
"13.275939268123906","man,I,The,even,also,perhaps,us,may,every,good,must,men,still,would","Beyond Good and Evil","Friedrich Nietzsche","non-fiction","6523"
